"","churn","satisfaction","engagement","subscription_length","watch_time","support_queries","income"
"1","No",5.29284164859002,5.57483731019523,8.96312364425163,2.84752711496746,4.7939262472885,5161.31453362256
"2","Yes",5.45269016697588,5.45640074211503,9.35992578849722,2.8139332096475,5.08534322820037,5328.54545454545
